countries,infected,infected_today,deaths,deaths_today,recovered,recovered_today,active,critical,tests,death_rate,recovery_rate
Antigua and Barbuda,25,0,3,0,19,0,3,1,183,12.0,76.0
Botswana,25,1,1,0,17,0,7,0,11495,4.0,68.0
Nicaragua,25,0,8,0,7,0,10,0,0,32.0,28.0
Timor-Leste,24,0,0,0,24,0,0,0,738,0.0,100.0
Burundi,23,8,1,0,15,8,7,0,284,4.3,65.2
Gambia,23,0,1,0,12,0,10,0,1341,4.3,52.2
Grenada,22,0,0,0,14,0,8,4,2419,0.0,63.6
Bhutan,21,0,0,0,5,0,16,0,13701,0.0,23.8
Laos,19,0,0,0,14,0,5,0,4451,0.0,73.7
Belize,18,0,2,0,16,0,0,0,1043,11.1,88.9
Saint Lucia,18,0,0,0,18,0,0,0,786,0.0,100.0
Fiji,18,0,0,0,15,0,3,0,1300,0.0,83.3
New Caledonia,18,0,0,0,18,0,0,0,5454,0.0,100.0
St. Vincent Grenadines,17,0,0,0,14,0,3,0,155,0.0,82.4
Curaçao,16,0,1,0,14,0,1,0,389,6.2,87.5
Dominica,16,0,0,0,15,0,1,0,420,0.0,93.8
Namibia,16,0,0,0,13,0,3,0,2074,0.0,81.2
Saint Kitts and Nevis,15,0,0,0,14,0,1,0,327,0.0,93.3
Falkland Islands,13,0,0,0,13,0,0,0,402,0.0,100.0
Turks and Caicos,12,0,1,0,10,0,1,0,109,8.3,83.3
Vatican City,12,0,0,0,2,0,10,0,0,0.0,16.7
Greenland,11,0,0,0,11,0,0,0,1629,0.0,100.0
Comoros,11,0,1,0,3,0,7,0,0,9.1,27.3
Seychelles,11,0,0,0,10,0,1,0,0,0.0,90.9
Montserrat,11,0,1,0,10,0,0,0,36,9.1,90.9
Suriname,10,0,1,0,9,0,0,0,404,10.0,90.0
MS Zaandam,9,0,2,0,0,0,7,0,0,22.2,0.0
British Virgin Islands,8,0,1,0,6,0,1,0,167,12.5,75.0
Papua New Guinea,8,0,0,0,8,0,0,0,2402,0.0,100.0
Western Sahara,6,0,0,0,6,0,0,0,0,0.0,100.0
Caribbean Netherlands,6,0,0,0,6,0,0,0,357,0.0,100.0
St. Barth,6,0,0,0,6,0,0,0,0,0.0,100.0
Anguilla,3,0,0,0,3,0,0,0,0,0.0,100.0
Saint Pierre Miquelon,1,0,0,0,1,0,0,0,0,0.0,100.0
Lesotho,1,0,0,0,0,0,1,0,0,0.0,0.0
